locations	strings	cognateID	alignments
001/203	fäng	1	f ä ng
002/201	fang	1	f a ng
002/203	fang	1	f a ng
002/205	fang	1	f a ng
003/203	fang	1	f a ng
003/205	fang	1	f a ng
004/205	fang	1	f a ng
005/205	fank	1	f a n k
005/207	fang	1	f a ng
006/205	fang	1	f a ng
006/207	fang	1	f a ng
007/205	NA	NA	-
007/207	fang	1	f a ng
007/209	fang	1	f a ng
007/211	fang	1	f a ng
008/199	fang	1	f a ng
008/203	fang	1	f a ng
008/205	fang	1	f a ng
008/207	fang	1	f a ng
008/209	fang	1	f a ng
008/211	fang	1	f a ng
008/213	fänk	1	f ä n k
009/199	fang	1	f a ng
009/203	fang	1	f a ng
009/207	fang	1	f a ng
009/209	fang	1	f a ng
009/211	fang	1	f a ng
009/213	fäng	1	f ä ng
009/215	fang	1	f a ng
009/217	fang	1	f a ng
010/195	fang	1	f a ng
010/203	fang	1	f a ng
010/207	fang	1	f a ng
010/209	fang	1	f a ng
010/211	fäng	1	f ä ng
010/213	fäng	1	f ä ng
010/215	fang	1	f a ng
010/217	fang	1	f a ng
010/219	fank	1	f a n k
011/049	bigent	1	b i g e n t
011/053	begynt	1	b e g y n t
011/055	NA	NA	-
011/057	begynd	1	b e g y n d
011/059	begyner	1	b e g y n e r
011/061	begynd	1	b e g y n d
011/063	begynnet	1	b e g y nn e t
011/065	NA	NA	-
011/067	begünner	1	b e g ü nn e r
011/069	begynne	1	b e g y nn e
011/187	fang	1	f a ng
011/189	fang	1	f a ng
011/191	fang	1	f a ng
011/195	fang	1	f a ng
011/197	fang	1	f a ng
011/203	fenk	1	f e n k
011/205	fang	1	f a ng
011/207	fang	1	f a ng
011/209	fäng	1	f ä ng
011/211	fank	1	f a n k
011/213	fang	1	f a ng
011/215	fäng	1	f ä ng
011/217	fang	1	f a ng
011/219	fang	1	f a ng
012/047	bigent	1	b i g e n t
012/049	bigent	1	b i g e n t
012/051	beiginnt	1	b ei g i nn t
012/053	begünner	1	b e g ü nn e r
012/055	begynd	1	b e g y n d
012/057	begyn	1	b e g y n
012/059	begynner	1	b e g y nn e r
012/061	begynne	1	b e g y nn e
012/063	kom	1	k o m
012/065	begynd	1	b e g y n d
012/067	begyn	1	b e g y n
012/069	kom	1	k o m
012/187	fang	1	f a ng
012/189	mart	1	m a r t
012/191	fang	1	f a ng
012/193	fang	1	f a ng
012/195	fang	1	f a ng
012/197	fang	1	f a ng
012/199	fang	1	f a ng
012/201	fang	1	f a ng
012/203	fang	1	f a ng
012/205	fang	1	f a ng
012/207	fang	1	f a ng
012/209	fäng	1	f ä ng
012/211	fenk	1	f e n k
012/213	fäng	1	f ä ng
012/215	fäng	1	f ä ng
012/217	fank	1	f a n k
012/219	fang	1	f a ng
012/221	fang	1	f a ng
012/223	fäng	1	f ä ng
013/051	kommt	1	k o mm t
013/053	fang	1	f a ng
013/055	fang	1	f a ng
013/057	begynner	1	b e g y nn e r
013/059	NA	NA	-
013/061	fang	1	f a ng
013/063	fank	1	f a n k
013/065	fang	1	f a ng
013/067	fang	1	f a ng
013/161	fäng	1	f ä ng
013/163	fäng	1	f ä ng
013/165	fäng	1	f ä ng
013/167	fäng	1	f ä ng
013/187	fang	1	f a ng
013/189	fang	1	f a ng
013/191	fang	1	f a ng
013/193	fang	1	f a ng
013/195	fang	1	f a ng
013/197	fang	1	f a ng
013/199	fang	1	f a ng
013/201	fang	1	f a ng
013/203	fang	1	f a ng
013/207	fang	1	f a ng
013/209	fang	1	f a ng
013/211	fäng	1	f ä ng
013/213	fang	1	f a ng
013/215	fang	1	f a ng
013/217	fäng	1	f ä ng
013/219	fang	1	f a ng
013/221	fäng	1	f ä ng
013/223	fäng	1	f ä ng
014/047	bigant	1	b i g a n t
014/049	begant	1	b e g a n t
014/051	begannt	1	b e g a nn t
014/053	fang	1	f a ng
014/055	fang	1	f a ng
014/057	kamt	1	k a m t
014/059	fang	1	f a ng
014/061	fank	1	f a n k
014/063	fang	1	f a ng
014/065	fang	1	f a ng
014/067	fang	1	f a ng
014/109	fäng	1	f ä ng
014/159	fäng	1	f ä ng
014/161	fäng	1	f ä ng
014/163	feng	1	f e ng
014/165	fang	1	f a ng
014/167	fäng	1	f ä ng
014/169	fäng	1	f ä ng
014/187	fang	1	f a ng
014/189	fang	1	f a ng
014/191	fang	1	f a ng
014/193	fang	1	f a ng
014/195	fang	1	f a ng
014/197	fang	1	f a ng
014/199	fäng	1	f ä ng
014/201	fang	1	f a ng
014/203	fang	1	f a ng
014/205	NA	NA	-
014/207	fank	1	f a n k
014/209	fang	1	f a ng
014/211	fäng	1	f ä ng
014/213	fang	1	f a ng
014/215	fang	1	f a ng
014/217	fang	1	f a ng
014/219	fäng	1	f ä ng
014/221	fäng	1	f ä ng
015/049	bigant	1	b i g a n t
015/051	begane	1	b e g a n e
015/053	begane	1	b e g a n e
015/055	fang	1	f a ng
015/057	fang	1	f a ng
015/059	fang	1	f a ng
015/061	fang	1	f a ng
015/063	fank	1	f a n k
015/065	fang	1	f a ng
015/067	fang	1	f a ng
015/105	fäng	1	f ä ng
015/107	fäng	1	f ä ng
015/109	fäng	1	f ä ng
015/151	fäng	1	f ä ng
015/153	fäng	1	f ä ng
015/155	fäng	1	f ä ng
015/157	fing	1	f i ng
015/159	fäng	1	f ä ng
015/161	fäng	1	f ä ng
015/163	fäng	1	f ä ng
015/165	fäng	1	f ä ng
015/167	fang	1	f a ng
015/169	fäng	1	f ä ng
015/173	fäng	1	f ä ng
015/187	fang	1	f a ng
015/191	fang	1	f a ng
015/193	fang	1	f a ng
015/195	fank	1	f a n k
015/197	fang	1	f a ng
015/199	fang	1	f a ng
015/201	fang	1	f a ng
015/203	fäng	1	f ä ng
015/205	fang	1	f a ng
015/207	fank	1	f a n k
015/209	fang	1	f a ng
015/211	fank	1	f a n k
015/213	fang	1	f a ng
015/215	NA	NA	-
015/217	fang	1	f a ng
015/219	fang	1	f a ng
015/221	fang	1	f a ng
016/051	fang	1	f a ng
016/055	fang	1	f a ng
016/057	fank	1	f a n k
016/059	fank	1	f a n k
016/061	fank	1	f a n k
016/063	fank	1	f a n k
016/065	fank	1	f a n k
016/067	fang	1	f a ng
016/081	fangk	1	f a ng k
016/083	mardt	1	m a r d t
016/105	föng	1	f ö ng
016/107	fäng	1	f ä ng
016/109	fang	1	f a ng
016/111	fänk	1	f ä n k
016/145	fäng	1	f ä ng
016/147	fäng	1	f ä ng
016/149	feng	1	f e ng
016/151	fäng	1	f ä ng
016/153	fäng	1	f ä ng
016/155	fing	1	f i ng
016/157	fing	1	f i ng
016/159	fink	1	f i n k
016/161	finng	1	f i nn g
016/163	feng	1	f e ng
016/165	fäng	1	f ä ng
016/167	ward	1	w a r d
016/187	fang	1	f a ng
016/189	fang	1	f a ng
016/191	fang	1	f a ng
016/193	fang	1	f a ng
016/195	fang	1	f a ng
016/197	fang	1	f a ng
