locations	strings	cognateID	alignments
001/203	wull	1	w u ll - -
002/201	wull	1	w u ll - -
002/203	wull	1	w u ll - -
002/205	wull	1	w u ll - -
003/203	wull	1	w u ll - -
003/205	wull	1	w u ll - -
004/205	wull	1	w u ll - -
005/205	wart	1	w a r - t
005/207	ward	1	w a r - d
006/205	wull	1	w u ll - -
006/207	wull	1	w u ll - -
007/205	wull	1	w u ll - -
007/207	wull	1	w u ll - -
007/209	ward	1	w a r - d
007/211	wull	1	w u ll - -
008/199	wull	1	w u ll - -
008/203	wull	1	w u ll - -
008/205	wart	1	w a r - t
008/207	wull	1	w u ll - -
008/209	wull	1	w u ll - -
008/211	wull	1	w u ll - -
008/213	wull	1	w u ll - -
009/199	wul	1	w u l - -
009/203	wöll	1	w ö ll - -
009/207	wull	1	w u ll - -
009/209	wull	1	w u ll - -
009/211	wull	1	w u ll - -
009/213	wull	1	w u ll - -
009/215	wull	1	w u ll - -
009/217	wul	1	w u l - -
010/195	wull	1	w u ll - -
010/203	well	1	w e ll - -
010/207	wull	1	w u ll - -
010/209	wull	1	w u ll - -
010/211	wull	1	w u ll - -
010/213	wull	1	w u ll - -
010/215	wull	1	w u ll - -
010/217	wul	1	w u l - -
010/219	wull	1	w u ll - -
011/049	willt	1	w i ll - t
011/053	vild	1	v i l - d
011/055	vild	1	v i l - d
011/057	vil	1	v i l - -
011/059	wil	1	w i l - -
011/061	vild	1	v i l - d
011/063	vil	1	v i l - -
011/065	vill	1	v i ll - -
011/067	wild	1	w i l - d
011/069	vild	1	v i l - d
011/187	wull	1	w u ll - -
011/189	wull	1	w u ll - -
011/191	wull	1	w u ll - -
011/195	wull	1	w u ll - -
011/197	wull	1	w u ll - -
011/203	wull	1	w u ll - -
011/205	wull	1	w u ll - -
011/207	wull	1	w u ll - -
011/209	wull	1	w u ll - -
011/211	wull	1	w u ll - -
011/213	wull	1	w u ll - -
011/215	wull	1	w u ll - -
011/217	wull	1	w u ll - -
011/219	wöll	1	w ö ll - -
012/047	wild	1	w i l - d
012/049	wiilt	1	w ii l - t
012/051	wilt	1	w i l - t
012/053	wil	1	w i l - -
012/055	vild	1	v i l - d
012/057	vil	1	v i l - -
012/059	viel	1	v ie l - -
012/061	vil	1	v i l - -
012/063	vil	1	v i l - -
012/065	vil	1	v i l - -
012/067	wild	1	w i l - d
012/069	wil	1	w i l - -
012/187	wüll	1	w ü ll - -
012/189	wull	1	w u ll - -
012/191	wull	1	w u ll - -
012/193	wull	1	w u ll - -
012/195	wull	1	w u ll - -
012/197	wull	1	w u ll - -
012/199	wull	1	w u ll - -
012/201	wull	1	w u ll - -
012/203	wull	1	w u ll - -
012/205	wull	1	w u ll - -
012/207	wull	1	w u ll - -
012/209	wull	1	w u ll - -
012/211	wull	1	w u ll - -
012/213	wull	1	w u ll - -
012/215	wull	1	w u ll - -
012/217	wull	1	w u ll - -
012/219	wull	1	w u ll - -
012/221	wull	1	w u ll - -
012/223	well	1	w e ll - -
013/051	wielt	1	w ie l - t
013/053	wöiljt	1	w öi lj - t
013/055	weljt	1	w e lj - t
013/057	wil	1	w i l - -
013/059	will	1	w i ll - -
013/061	woll	1	w o ll - -
013/063	wull	1	w u ll - -
013/065	wull	1	w u ll - -
013/067	woll	1	w o ll - -
013/161	wull	1	w u ll - -
013/163	wull	1	w u ll - -
013/165	wul	1	w u l - -
013/167	wull	1	w u ll - -
013/187	wull	1	w u ll - -
013/189	well	1	w e ll - -
013/191	wull	1	w u ll - -
013/193	wull	1	w u ll - -
013/195	wull	1	w u ll - -
013/197	wull	1	w u ll - -
013/199	wull	1	w u ll - -
013/201	wull	1	w u ll - -
013/203	wull	1	w u ll - -
013/207	wull	1	w u ll - -
013/209	well	1	w e ll - -
013/211	wart	1	w a r - t
013/213	wull	1	w u ll - -
013/215	wull	1	w u ll - -
013/217	wull	1	w u ll - -
013/219	wull	1	w u ll - -
013/221	wull	1	w u ll - -
013/223	wull	1	w u ll - -
014/047	wul	1	w u l - -
014/049	wult	1	w u l - t
014/051	wull	1	w u ll - -
014/053	wäjlt	1	w äj l - t
014/055	wejl	1	w ej l - -
014/057	wöll	1	w ö ll - -
014/059	woll	1	w o ll - -
014/061	woll	1	w o ll - -
014/063	wull	1	w u ll - -
014/065	woll	1	w o ll - -
014/067	woll	1	w o ll - -
014/109	wull	1	w u ll - -
014/159	wull	1	w u ll - -
014/161	wull	1	w u ll - -
014/163	wull	1	w u ll - -
014/165	wull	1	w u ll - -
014/167	wull	1	w u ll - -
014/169	wull	1	w u ll - -
014/187	wull	1	w u ll - -
014/189	wull	1	w u ll - -
014/191	wull	1	w u ll - -
014/193	wull	1	w u ll - -
014/195	wull	1	w u ll - -
014/197	wull	1	w u ll - -
014/199	wull	1	w u ll - -
014/201	wull	1	w u ll - -
014/203	wull	1	w u ll - -
014/205	wull	1	w u ll - -
014/207	wul	1	w u l - -
014/209	wull	1	w u ll - -
014/211	wull	1	w u ll - -
014/213	wöll	1	w ö ll - -
014/215	wull	1	w u ll - -
014/217	wöll	1	w ö ll - -
014/219	wull	1	w u ll - -
014/221	wull	1	w u ll - -
015/049	wul	1	w u l - -
015/051	weel	1	w ee l - -
015/053	wel	1	w e l - -
015/055	wejl	1	w ej l - -
015/057	wehlt	1	w eh l - t
015/059	woll	1	w o ll - -
015/061	woll	1	w o ll - -
015/063	wull	1	w u ll - -
015/065	wull	1	w u ll - -
015/067	wull	1	w u ll - -
015/105	wull	1	w u ll - -
015/107	wull	1	w u ll - -
015/109	wull	1	w u ll - -
015/151	wull	1	w u ll - -
015/153	wull	1	w u ll - -
015/155	wull	1	w u ll - -
015/157	wul	1	w u l - -
015/159	wull	1	w u ll - -
015/161	will	1	w i ll - -
015/163	wull	1	w u ll - -
015/165	wull	1	w u ll - -
015/167	wull	1	w u ll - -
015/169	wull	1	w u ll - -
015/173	wull	1	w u ll - -
015/187	wull	1	w u ll - -
015/191	wull	1	w u ll - -
015/193	wull	1	w u ll - -
015/195	wull	1	w u ll - -
015/197	wull	1	w u ll - -
015/199	wull	1	w u ll - -
015/201	wull	1	w u ll - -
015/203	wull	1	w u ll - -
015/205	wull	1	w u ll - -
015/207	wull	1	w u ll - -
015/209	wull	1	w u ll - -
015/211	wöll	1	w ö ll - -
015/213	wull	1	w u ll - -
015/215	wull	1	w u ll - -
015/217	wull	1	w u ll - -
015/219	wull	1	w u ll - -
015/221	wull	1	w u ll - -
016/051	wiolt	1	w io l - t
016/055	weel	1	w ee l - -
016/057	woll	1	w o ll - -
016/059	woll	1	w o ll - -
016/061	woll	1	w o ll - -
016/063	woll	1	w o ll - -
016/065	wull	1	w u ll - -
016/067	woll	1	w o ll - -
016/081	wull	1	w u ll - -
016/083	wull	1	w u ll - -
016/105	wull	1	w u ll - -
016/107	wull	1	w u ll - -
016/109	wull	1	w u ll - -
016/111	wull	1	w u ll - -
016/145	wull	1	w u ll - -
016/147	wull	1	w u ll - -
016/149	wull	1	w u ll - -
016/151	wull	1	w u ll - -
016/153	wul	1	w u l - -
016/155	wull	1	w u ll - -
016/157	wull	1	w u ll - -
016/159	wull	1	w u ll - -
016/161	wul	1	w u l - -
016/163	wull	1	w u ll - -
016/165	wull	1	w u ll - -
016/167	wull	1	w u ll - -
016/187	wull	1	w u ll - -
016/189	wull	1	w u ll - -
016/191	wull	1	w u ll - -
016/193	wull	1	w u ll - -
016/195	wull	1	w u ll - -
016/197	wull	1	w u ll - -
016/199	wull	1	w u ll - -
016/201	wull	1	w u ll - -
016/203	wull	1	w u ll - -
016/205	wull	1	w u ll - -
016/209	wull	1	w u ll - -
016/211	wull	1	w u ll - -
016/213	wöll	1	w ö ll - -
016/215	wull	1	w u ll - -
016/217	wull	1	w u ll - -
016/219	wull	1	w u ll - -
017/055	woll	1	w o ll - -
017/057	woll	1	w o ll - -
017/059	woll	1	w o ll - -
017/061	wull	1	w u ll - -
017/063	woll	1	w o ll - -
017/065	woll	1	w o ll - -
017/067	woll	1	w o ll - -
017/069	wull	1	w u ll - -
017/081	woll	1	w o ll - -
017/083	wull	1	w u ll - -
017/099	wull	1	w u ll - -
017/101	wull	1	w u ll - -
017/103	wull	1	w u ll - -
017/107	wull	1	w u ll - -
017/109	wull	1	w u ll - -
017/145	wult	1	w u l - t
017/147	wullt	1	w u ll - t
017/149	wult	1	w u l - t
017/151	wullt	1	w u ll - t
017/153	wullt	1	w u ll - t
017/155	wull	1	w u ll - -
017/157	wull	1	w u ll - -
017/159	wull	1	w u ll - -
017/161	wull	1	w u ll - -
017/163	wull	1	w u ll - -
017/165	wullt	1	w u ll - t
017/169	wult	1	w u l - t
017/171	NA	NA	-
017/183	wul	1	w u l - -
017/185	wull	1	w u ll - -
017/187	wull	1	w u ll - -
017/189	wull	1	w u ll - -
017/191	wull	1	w u ll - -
017/193	wull	1	w u ll - -
017/195	wul	1	w u l - -
017/197	wull	1	w u ll - -
017/199	wull	1	w u ll - -
017/201	wull	1	w u ll - -
017/203	wull	1	w u ll - -
017/205	wull	1	w u ll - -
017/207	wull	1	w u ll - -
017/209	wull	1	w u ll - -
017/211	wull	1	w u ll - -
017/213	ward	1	w a r - d
017/215	wull	1	w u ll - -
017/217	well	1	w e ll - -
017/219	wull	1	w u ll - -
018/051	wull	1	w u ll - -
018/053	woll	1	w o ll - -
018/055	wüll	1	w ü ll - -
018/057	wull	1	w u ll - -
018/059	woll	1	w o ll - -
018/061	woll	1	w o ll - -
018/063	woll	1	w o ll - -
018/065	wull	1	w u ll - -
018/067	woll	1	w o ll - -
018/069	woll	1	w o ll - -
018/071	wull	1	w u ll - -
018/073	wolt	1	w o l - t
018/075	wullt	1	w u ll - t
018/079	wull	1	w u ll - -
018/081	wull	1	w u ll - -
018/097	woll	1	w o ll - -
018/099	wol	1	w o l - -
018/103	wull	1	w u ll - -
018/105	wull	1	w u ll - -
018/107	wull	1	w u ll - -
018/109	wull	1	w u ll - -
018/111	wull	1	w u ll - -
018/143	wull	1	w u ll - -
018/145	will	1	w i ll - -
018/147	will	1	w i ll - -
018/149	wull	1	w u ll - -
018/151	wull	1	w u ll - -
018/153	wull	1	w u ll - -
018/155	wull	1	w u ll - -
018/157	wuoll	1	w uo ll - -
018/159	wull	1	w u ll - -
018/161	wull	1	w u ll - -
018/163	wull	1	w u ll - -
018/165	wull	1	w u ll - -
018/169	wull	1	w u ll - -
018/171	wull	1	w u ll - -
018/173	wull	1	w u ll - -
018/181	wull	1	w u ll - -
018/185	wull	1	w u ll - -
018/187	wull	1	w u ll - -
018/189	wull	1	w u ll - -
018/191	wull	1	w u ll - -
018/193	wull	1	w u ll - -
018/195	wull	1	w u ll - -
018/197	wull	1	w u ll - -
018/199	wull	1	w u ll - -
018/201	wull	1	w u ll - -
018/203	wull	1	w u ll - -
018/205	wull	1	w u ll - -
018/207	wul	1	w u l - -
018/209	wull	1	w u ll - -
018/211	wart	1	w a r - t
018/213	wart	1	w a r - t
018/215	well	1	w e ll - -
018/219	wull	1	w u ll - -
019/051	woll	1	w o ll - -
019/053	wull	1	w u ll - -
019/055	wull	1	w u ll - -
019/057	wull	1	w u ll - -
019/059	wull	1	w u ll - -
019/061	woll	1	w o ll - -
019/063	wull	1	w u ll - -
019/065	wull	1	w u ll - -
019/067	wull	1	w u ll - -
019/069	woll	1	w o ll - -
019/071	wull	1	w u ll - -
019/073	woll	1	w o ll - -
019/075	woll	1	w o ll - -
019/077	woll	1	w o ll - -
019/079	wull	1	w u ll - -
019/081	wull	1	w u ll - -
019/097	woll	1	w o ll - -
019/099	wull	1	w u ll - -
019/101	wull	1	w u ll - -
019/103	wull	1	w u ll - -
019/105	wull	1	w u ll - -
019/107	wull	1	w u ll - -
019/109	wull	1	w u ll - -
019/143	wual	1	w ua l - -
019/145	wull	1	w u ll - -
019/147	wull	1	w u ll - -
019/149	wull	1	w u ll - -
019/151	wull	1	w u ll - -
019/153	wull	1	w u ll - -
019/155	wull	1	w u ll - -
019/157	wull	1	w u ll - -
019/159	wull	1	w u ll - -
019/161	wull	1	w u ll - -
019/163	wull	1	w u ll - -
019/165	wull	1	w u ll - -
019/167	wull	1	w u ll - -
019/169	wull	1	w u ll - -
019/171	wull	1	w u ll - -
019/173	wull	1	w u ll - -
019/175	wull	1	w u ll - -
019/177	wull	1	w u ll - -
019/179	wull	1	w u ll - -
019/181	wull	1	w u ll - -
019/183	wull	1	w u ll - -
019/185	wull	1	w u ll - -
019/187	wull	1	w u ll - -
019/189	wull	1	w u ll - -
019/191	wull	1	w u ll - -
019/193	wull	1	w u ll - -
019/195	wull	1	w u ll - -
019/197	wull	1	w u ll - -
019/199	wull	1	w u ll - -
019/201	wull	1	w u ll - -
019/203	wull	1	w u ll - -
019/205	well	1	w e ll - -
019/207	wull	1	w u ll - -
019/209	wel	1	w e l - -
019/211	wull	1	w u ll - -
019/213	wull	1	w u ll - -
019/215	wull	1	w u ll - -
019/217	wull	1	w u ll - -
019/219	wull	1	w u ll - -
020/043	wull	1	w u ll - -
020/053	wull	1	w u ll - -
020/055	wull	1	w u ll - -
020/057	wull	1	w u ll - -
020/059	wull	1	w u ll - -
020/061	wull	1	w u ll - -
020/063	woll	1	w o ll - -
020/065	woll	1	w o ll - -
020/067	wull	1	w u ll - -
020/069	woll	1	w o ll - -
020/071	woll	1	w o ll - -
020/073	wull	1	w u ll - -
020/075	woll	1	w o ll - -
020/077	woll	1	w o ll - -
020/079	wull	1	w u ll - -
020/081	wul	1	w u l - -
020/095	wull	1	w u ll - -
020/097	wol	1	w o l - -
020/099	wull	1	w u ll - -
020/101	wull	1	w u ll - -
020/103	wull	1	w u ll - -
020/105	wull	1	w u ll - -
020/107	wull	1	w u ll - -
020/135	wull	1	w u ll - -
020/137	wull	1	w u ll - -
020/139	wull	1	w u ll - -
020/141	wull	1	w u ll - -
020/143	wull	1	w u ll - -
020/145	wull	1	w u ll - -
020/147	wull	1	w u ll - -
020/149	wull	1	w u ll - -
020/151	wull	1	w u ll - -
020/153	wull	1	w u ll - -
020/155	wull	1	w u ll - -
020/157	wull	1	w u ll - -
020/159	wull	1	w u ll - -
020/161	wull	1	w u ll - -
020/163	will	1	w i ll - -
020/165	wull	1	w u ll - -
020/167	wull	1	w u ll - -
020/169	wull	1	w u ll - -
020/171	wull	1	w u ll - -
020/173	wull	1	w u ll - -
020/175	wull	1	w u ll - -
020/177	wul	1	w u l - -
020/179	woll	1	w o ll - -
020/181	wull	1	w u ll - -
020/183	wull	1	w u ll - -
020/185	wull	1	w u ll - -
020/187	wull	1	w u ll - -
020/189	well	1	w e ll - -
020/191	wull	1	w u ll - -
020/193	wull	1	w u ll - -
020/195	wull	1	w u ll - -
020/197	wull	1	w u ll - -
020/199	wull	1	w u ll - -
020/201	wull	1	w u ll - -
020/203	wull	1	w u ll - -
020/205	wull	1	w u ll - -
020/207	wull	1	w u ll - -
020/209	well	1	w e ll - -
020/211	wäll	1	w ä ll - -
020/213	wart	1	w a r - t
020/215	wöll	1	w ö ll - -
020/217	wöll	1	w ö ll - -
020/219	wull	1	w u ll - -
021/055	wull	1	w u ll - -
021/057	woll	1	w o ll - -
021/059	wull	1	w u ll - -
021/061	wull	1	w u ll - -
021/063	wull	1	w u ll - -
021/065	woll	1	w o ll - -
021/067	woll	1	w o ll - -
021/069	woll	1	w o ll - -
021/071	wull	1	w u ll - -
021/073	woll	1	w o ll - -
021/075	woll	1	w o ll - -
021/077	woll	1	w o ll - -
021/079	wull	1	w u ll - -
021/087	wull	1	w u ll - -
021/089	wull	1	w u ll - -
021/091	wull	1	w u ll - -
021/093	wull	1	w u ll - -
021/095	wull	1	w u ll - -
021/097	wull	1	w u ll - -
021/099	woll	1	w o ll - -
021/101	wull	1	w u ll - -
021/103	wull	1	w u ll - -
021/105	wull	1	w u ll - -
021/107	wull	1	w u ll - -
021/109	wull	1	w u ll - -
021/111	wull	1	w u ll - -
021/113	wull	1	w u ll - -
021/131	wull	1	w u ll - -
021/133	wull	1	w u ll - -
021/135	wull	1	w u ll - -
021/137	wudd	1	w u - - dd
021/139	wut	1	w u - - t
021/141	wull	1	w u ll - -
021/143	wull	1	w u ll - -
021/145	wull	1	w u ll - -
021/147	wul	1	w u l - -
021/149	wull	1	w u ll - -
021/151	wull	1	w u ll - -
021/153	wul	1	w u l - -
021/155	wull	1	w u ll - -
021/157	wull	1	w u ll - -
021/159	wull	1	w u ll - -
021/163	wull	1	w u ll - -
021/165	wull	1	w u ll - -
021/167	wull	1	w u ll - -
021/169	wull	1	w u ll - -
021/171	well	1	w e ll - -
021/173	wull	1	w u ll - -
021/175	wull	1	w u ll - -
021/177	wull	1	w u ll - -
021/179	wull	1	w u ll - -
021/181	wull	1	w u ll - -
021/183	wull	1	w u ll - -
021/185	wull	1	w u ll - -
021/187	woll	1	w o ll - -
021/189	weet	1	w ee - - t
021/191	wull	1	w u ll - -
021/193	wull	1	w u ll - -
021/195	wull	1	w u ll - -
021/197	wull	1	w u ll - -
021/199	wul	1	w u l - -
021/201	wöll	1	w ö ll - -
021/203	wull	1	w u ll - -
021/205	wull	1	w u ll - -
021/207	wul	1	w u l - -
021/211	well	1	w e ll - -
021/215	wull	1	w u ll - -
021/217	wull	1	w u ll - -
021/219	wull	1	w u ll - -
022/055	wull	1	w u ll - -
022/057	wull	1	w u ll - -
022/059	wull	1	w u ll - -
022/061	woll	1	w o ll - -
022/063	woll	1	w o ll - -
022/065	woll	1	w o ll - -
022/067	woll	1	w o ll - -
022/069	woll	1	w o ll - -
022/071	woll	1	w o ll - -
022/073	wull	1	w u ll - -
022/075	wull	1	w u ll - -
022/077	wull	1	w u ll - -
022/087	woll	1	w o ll - -
022/089	woll	1	w o ll - -
022/091	wull	1	w u ll - -
022/093	wohl	1	w oh l - -
022/095	wull	1	w u ll - -
022/097	woll	1	w o ll - -
022/099	wull	1	w u ll - -
022/101	wull	1	w u ll - -
022/103	wull	1	w u ll - -
022/105	wull	1	w u ll - -
022/107	wull	1	w u ll - -
022/109	wull	1	w u ll - -
022/111	wull	1	w u ll - -
022/113	wull	1	w u ll - -
022/115	wull	1	w u ll - -
022/127	wul	1	w u l - -
022/129	wull	1	w u ll - -
022/131	wutt	1	w u - - tt
022/133	wud	1	w u - - d
022/135	wul	1	w u l - -
022/137	wull	1	w u ll - -
022/139	wull	1	w u ll - -
022/141	wull	1	w u ll - -
022/143	wull	1	w u ll - -
022/145	wutt	1	w u - - tt
022/147	wudt	1	w u - - dt
022/149	wut	1	w u - - t
022/151	wul	1	w u l - -
022/153	wul	1	w u l - -
022/155	wull	1	w u ll - -
022/157	wull	1	w u ll - -
022/159	wull	1	w u ll - -
022/165	wull	1	w u ll - -
022/167	wull	1	w u ll - -
022/169	wull	1	w u ll - -
022/171	wull	1	w u ll - -
022/173	wull	1	w u ll - -
022/175	wull	1	w u ll - -
022/177	wull	1	w u ll - -
022/179	wull	1	w u ll - -
022/181	wull	1	w u ll - -
022/183	wöll	1	w ö ll - -
022/185	wull	1	w u ll - -
022/187	wull	1	w u ll - -
022/189	wedd	1	w e - - dd
022/191	wull	1	w u ll - -
022/193	wöll	1	w ö ll - -
022/195	wull	1	w u ll - -
022/197	watt	1	w a - - tt
022/199	witt	1	w i - - tt
022/201	wull	1	w u ll - -
022/203	wull	1	w u ll - -
022/205	wull	1	w u ll - -
022/209	wull	1	w u ll - -
022/211	well	1	w e ll - -
022/215	wull	1	w u ll - -
022/217	wull	1	w u ll - -
022/219	wol	1	w o l - -
023/055	wull	1	w u ll - -
023/059	wull	1	w u ll - -
023/061	woll	1	w o ll - -
023/063	wull	1	w u ll - -
023/065	woll	1	w o ll - -
023/067	wull	1	w u ll - -
023/069	wull	1	w u ll - -
023/071	wull	1	w u ll - -
023/073	woll	1	w o ll - -
023/075	wull	1	w u ll - -
023/077	wull	1	w u ll - -
023/079	wull	1	w u ll - -
023/081	wull	1	w u ll - -
023/083	wohl	1	w oh l - -
023/085	wull	1	w u ll - -
023/087	wull	1	w u ll - -
023/089	wull	1	w u ll - -
023/091	wull	1	w u ll - -
023/093	wull	1	w u ll - -
023/095	wull	1	w u ll - -
023/097	woll	1	w o ll - -
023/099	woll	1	w o ll - -
023/101	woll	1	w o ll - -
023/103	wool	1	w oo l - -
023/105	wull	1	w u ll - -
023/107	wull	1	w u ll - -
023/109	wull	1	w u ll - -
023/111	wull	1	w u ll - -
023/113	wull	1	w u ll - -
023/115	wull	1	w u ll - -
023/117	wull	1	w u ll - -
023/121	wull	1	w u ll - -
023/123	wull	1	w u ll - -
023/125	wut	1	w u - - t
023/127	wull	1	w u ll - -
023/129	wud	1	w u - - d
023/131	wull	1	w u ll - -
023/133	wull	1	w u ll - -
023/135	wul	1	w u l - -
023/137	wul	1	w u l - -
023/139	wull	1	w u ll - -
023/141	wull	1	w u ll - -
023/143	wutt	1	w u - - tt
023/145	woh	1	w oh - - -
023/147	wuh	1	w uh - - -
023/149	wull	1	w u ll - -
023/151	wull	1	w u ll - -
023/153	will	1	w i ll - -
023/155	wu	1	w u - - -
023/165	wull	1	w u ll - -
023/167	wul	1	w u l - -
023/169	wull	1	w u ll - -
023/175	wull	1	w u ll - -
023/177	wull	1	w u ll - -
023/179	well	1	w e ll - -
023/181	wull	1	w u ll - -
023/183	woll	1	w o ll - -
023/185	wöll	1	w ö ll - -
023/187	wull	1	w u ll - -
023/189	wöll	1	w ö ll - -
023/191	wöll	1	w ö ll - -
023/193	well	1	w e ll - -
023/195	wäll	1	w ä ll - -
023/197	wull	1	w u ll - -
023/199	wull	1	w u ll - -
023/201	wöll	1	w ö ll - -
023/203	wull	1	w u ll - -
023/205	wöll	1	w ö ll - -
023/207	wull	1	w u ll - -
023/215	well	1	w e ll - -
023/217	well	1	w e ll - -
024/053	wull	1	w u ll - -
024/057	wull	1	w u ll - -
024/059	wull	1	w u ll - -
024/061	woll	1	w o ll - -
024/063	wull	1	w u ll - -
024/065	woll	1	w o ll - -
024/067	woll	1	w o ll - -
024/069	wull	1	w u ll - -
024/071	wull	1	w u ll - -
024/073	woll	1	w o ll - -
024/075	wull	1	w u ll - -
024/077	wull	1	w u ll - -
024/079	wull	1	w u ll - -
024/081	wull	1	w u ll - -
024/083	wull	1	w u ll - -
024/085	woll	1	w o ll - -
024/087	woll	1	w o ll - -
024/089	wull	1	w u ll - -
024/091	woll	1	w o ll - -
024/093	wull	1	w u ll - -
024/095	wull	1	w u ll - -
024/097	woll	1	w o ll - -
024/099	wull	1	w u ll - -
024/101	woll	1	w o ll - -
024/103	wull	1	w u ll - -
024/105	wull	1	w u ll - -
024/107	wul	1	w u l - -
024/109	wull	1	w u ll - -
024/111	wull	1	w u ll - -
024/113	wull	1	w u ll - -
024/115	wull	1	w u ll - -
024/117	wull	1	w u ll - -
024/119	wull	1	w u ll - -
024/121	wull	1	w u ll - -
024/123	wull	1	w u ll - -
024/125	wull	1	w u ll - -
024/127	wull	1	w u ll - -
024/129	wull	1	w u ll - -
024/131	wull	1	w u ll - -
024/133	wull	1	w u ll - -
024/135	wull	1	w u ll - -
024/137	wull	1	w u ll - -
024/139	wull	1	w u ll - -
024/141	wut	1	w u - - t
024/143	wut	1	w u - - t
024/145	wedd	1	w e - - dd
024/147	schull	3	sch u ll
024/149	wud	1	w u - - d
024/151	wou	1	w ou - - -
024/153	wu	1	w u - - -
024/155	wu	1	w u - - -
024/163	wull	1	w u ll - -
024/165	wull	1	w u ll - -
024/167	wull	1	w u ll - -
024/169	wull	1	w u ll - -
024/171	wul	1	w u l - -
024/175	wull	1	w u ll - -
024/179	wull	1	w u ll - -
024/181	well	1	w e ll - -
024/183	well	1	w e ll - -
024/185	wöll	1	w ö ll - -
024/187	wull	1	w u ll - -
024/189	wert	1	w e r - t
024/191	wull	1	w u ll - -
024/193	wull	1	w u ll - -
024/195	wel	1	w e l - -
024/197	watt	1	w a - - tt
024/199	wull	1	w u ll - -
024/201	wull	1	w u ll - -
024/203	wul	1	w u l - -
024/217	wel	1	w e l - -
024/221	wull	1	w u ll - -
025/043	weil	1	w ei l - -
025/051	wull	1	w u ll - -
025/053	wull	1	w u ll - -
025/055	wul	1	w u l - -
025/057	wull	1	w u ll - -
025/059	wull	1	w u ll - -
025/061	woll	1	w o ll - -
025/063	woll	1	w o ll - -
025/065	wull	1	w u ll - -
025/067	wull	1	w u ll - -
025/069	woll	1	w o ll - -
025/071	wull	1	w u ll - -
025/073	wull	1	w u ll - -
025/075	wul	1	w u l - -
025/077	wull	1	w u ll - -
025/079	wull	1	w u ll - -
025/081	wull	1	w u ll - -
025/083	wull	1	w u ll - -
025/085	wull	1	w u ll - -
025/087	wull	1	w u ll - -
025/089	wull	1	w u ll - -
025/091	wull	1	w u ll - -
025/093	woll	1	w o ll - -
025/095	wull	1	w u ll - -
025/099	woll	1	w o ll - -
025/101	woll	1	w o ll - -
025/103	wull	1	w u ll - -
025/105	wull	1	w u ll - -
025/107	wull	1	w u ll - -
025/109	wull	1	w u ll - -
025/111	wull	1	w u ll - -
025/113	wull	1	w u ll - -
025/115	wull	1	w u ll - -
025/123	wull	1	w u ll - -
025/125	wull	1	w u ll - -
025/127	wull	1	w u ll - -
025/129	will	1	w i ll - -
025/131	wu	1	w u - - -
025/133	wull	1	w u ll - -
025/135	will	1	w i ll - -
025/137	wu	1	w u - - -
025/139	wull	1	w u ll - -
025/141	wutt	1	w u - - tt
025/143	wut	1	w u - - t
025/145	wutt	1	w u - - tt
025/147	wut	1	w u - - t
025/149	wull	1	w u ll - -
025/151	wu	1	w u - - -
025/153	wu	1	w u - - -
025/155	wutt	1	w u - - tt
025/157	wud	1	w u - - d
025/159	wull	1	w u ll - -
025/177	wull	1	w u ll - -
025/179	wull	1	w u ll - -
025/181	wull	1	w u ll - -
025/183	wöll	1	w ö ll - -
025/185	wull	1	w u ll - -
025/187	wull	1	w u ll - -
025/189	wull	1	w u ll - -
025/191	well	1	w e ll - -
026/031	wull	1	w u ll - -
026/033	wull	1	w u ll - -
026/037	wull	1	w u ll - -
026/041	wull	1	w u ll - -
026/043	wull	1	w u ll - -
026/045	wull	1	w u ll - -
026/051	wull	1	w u ll - -
026/053	wull	1	w u ll - -
026/055	wull	1	w u ll - -
026/057	wull	1	w u ll - -
026/059	wull	1	w u ll - -
026/061	wull	1	w u ll - -
026/063	wull	1	w u ll - -
026/065	wull	1	w u ll - -
026/067	woll	1	w o ll - -
026/069	woll	1	w o ll - -
026/071	wull	1	w u ll - -
026/073	wull	1	w u ll - -
026/075	wull	1	w u ll - -
026/077	wull	1	w u ll - -
026/079	wull	1	w u ll - -
026/081	wull	1	w u ll - -
026/083	wull	1	w u ll - -
026/085	wull	1	w u ll - -
026/087	woll	1	w o ll - -
026/089	woll	1	w o ll - -
026/091	wull	1	w u ll - -
026/093	woll	1	w o ll - -
026/095	woll	1	w o ll - -
026/097	wol	1	w o l - -
026/099	wool	1	w oo l - -
026/101	wull	1	w u ll - -
026/103	woll	1	w o ll - -
026/105	wull	1	w u ll - -
026/107	wull	1	w u ll - -
026/109	wull	1	w u ll - -
026/111	woll	1	w o ll - -
026/113	wull	1	w u ll - -
026/115	wull	1	w u ll - -
026/117	wull	1	w u ll - -
026/119	wull	1	w u ll - -
026/123	wol	1	w o l - -
026/125	wull	1	w u ll - -
026/127	wull	1	w u ll - -
026/129	wull	1	w u ll - -
026/131	wot	1	w o - - t
026/133	wut	1	w u - - t
026/135	wull	1	w u ll - -
026/137	wudd	1	w u - - dd
026/139	wud	1	w u - - d
026/141	wull	1	w u ll - -
026/143	wull	1	w u ll - -
026/145	wud	1	w u - - d
026/147	wit	1	w i - - t
026/153	wudd	1	w u - - dd
026/155	wu	1	w u - - -
026/157	wu	1	w u - - -
026/159	wu	1	w u - - -
026/161	wu	1	w u - - -
026/165	wull	1	w u ll - -
